Vorname,Nachname,Strasse,Hausnummer,Postleitzahl,Stadt
Bernt,Weißhaar,Auf Wissen Woog,81,91438,Bad Windsheim
Wernhild,Bachem,Agnes-Bernauer-Straße,169,57635,Ersfeld
Justin,Göllner,Kornhahnstraße,51,35644,Hohenahr
Siegfrid,Rettinger,Im Buschfeld,96,57632,Reiferscheid
Blasius,Reuss,Flurweg,29,72585,Riederich
Beat,Kellermann,Fallerwasen,26,25572,Büttel
August,Döbler,Dümpelacker,24,38820,Halberstadt
Jolanthe,Graap,Breitscheider Straße,147,91793,Alesheim
Sabinchen,Fock,Im Stillen Winkel,104,53115,Bonn
Zacharias,Todd,Kronenweg,122,64653,Lorsch
Gottlob,Leib,Schöneberger Straße,70,25785,Sarzbüttel
Svea,Sievers,Am Bongert,92,26434,Wangerland
Irmingard,Marciniak,Wallbachstraße,138,88147,Achberg
Patricia,Ubben,Johannespesch,115,56826,Lutzerath
Alice,Poerschke,Gubener Straße,157,17111,Kentzlin
Otmar,Schaich,Jakobsberger Weg,54,33758,Schloß Holte-Stukenbrock
Magda,Moore,Am Glaskopf,45,97346,Iphofen
Klaas,Dittmann,In der Bitze,183,49584,Fürstenau
Gottfrieda,Malchow,Kardinal-von-Galen-Straße,106,74599,Wallhausen
Hannmeike,Kessler,Ludwig-Richter-Straße,166,93480,Hohenwarth
Konradin,Noske,Strippchens Hof,165,55608,Bergen
Svea,Balthasar,Bergiusstraße,72,93477,Gleißenberg
Ullrich,Häfner,Fürstengrund,145,56729,Nitz
Chiara,Will,Kreuzgartenweg,187,48361,Beelen
Annemargret,Aue,Lämmerstraße,158,33803,Steinhagen
Eginald,Frommer,Jägerpfad,158,34379,Calden
Karolina,Schmeling,Pfarrstraße,42,54675,Sinspelt
Christhart,Stütz,Lotharstraße,24,54413,Damflos
Steve,Balke,Langendorfer Straße,59,36318,Schwalmtal
Friedburg,Junghans,Littardweg,157,86845,Reinhartshofen
Diethelm,Schirm,Rurdorfer Straße,50,56427,Siershahn
Sturmius,Jürges,Baumertstraße,175,56357,Oberwallmenach
Fabienne,Mews,Mendelssohnweg,144,67246,Dirmstein
Gert,Renken,Hoorweiherstraße,85,56746,Spessart
Diethmar,Traub,Lübecker Weg,38,23919,Berkenthin
Gerlach,Höfner,Am Schorrberg,160,94557,Niederalteich
Otmar,Brandenburg,Im Erlengrund,77,25885,Immenstedt
Kord,Stöhr,Philipp-Reis-Straße,195,49838,Langen
Aribert,Dichtl,Hannoversche Straße,85,24598,Latendorf
Lotti,Klemke,Im Bungert,170,55481,Metzenhausen
Mirjam,Schmieder,Spreewaldstraße,60,34119,Kassel
Wilderich,Abend,Mühlenend,71,59969,Bromskirchen
Adalbert,Brommer,Fritzlarer Straße,36,74074,Heilbronn
Dietwald,Metze,Nordbahnstraße,70,57520,Grünebach
Titus,Stiefel,Am Kirschbaum,25,55626,Bundenbach
Ludger,Trautmann,Speichstraße,109,55758,Weiden
Willrich,Gibson,Ebbetalstraße,158,25704,Nindorf
Tino,Brauns,Wendelsgasse,134,87679,Westendorf
Jannine,Zetzsche,Müssingen,95,66663,Merzig
Benedict,Ohlendorf,Badenstedter Straße,123c,54552,Katzwinkel
Burgunda,Bull,Königsfelder Allee,107,57539,Bitzen
Robin,Schöller,Löhrstraße,125,55444,Dörrebach
Dietger,Hunt,Plenterweg,30,91350,Gremsdorf
Ela,Sigl,Harffstraße,59,99880,Fröttstädt
Myrjam,Ketterer,Tutweg,71,24813,Schülp
Aaron,Hackstein,Dürener Straße,88,37434,Bilshausen
Ekhardt,Mühlbacher,Rengsdorfer Straße,146,96170,Lisberg
Falkhard,Hüning,Hartstraße,77,21775,Ihlienworth
Gretlies,Dickert,Sudfeldstraße,153,90402,Nürnberg
Guntram,Gorges,Nollstraße,144,95234,Sparneck
Jessika,Kastl,Zum Rödchen,174c,60439,Frankfurt am Main
Gerhart,Thümmler,Hoerstgener Weg,191,56288,Spesenroth
Cäcilia,Trettin,Zum Mühlenberg,118,6130,Halle
Heidegard,Mason,Wersche,188,24159,Kiel
Steffen,Thompson,Mispelweg,162,45884,Gelsenkirchen
Jason,Rubner,Koriolanstraße,175,89299,Unterroth
Heimfrid,Kuttler,Spreewaldstraße,93 a,21261,Welle
Konstanze,Stumm,Ermländer Weg,141b,52393,Hürtgenwald
Benedikt,Gaiser,Honnefer Straße,117,37412,Elbingerode
Gustav,Röse,Albert-Koch-Straße,99,67271,Battenberg
Gunter,Irmscher,Schürkamp,151a,82266,Inning am Ammersee
Burghard,Stoiber,Klottengasse,75a,73655,Alfdorf
Henri,Karst,Nobelstraße,44,55413,Oberdiebach
Rosegret,Wenke,Frankestraße,75,78199,Bräunlingen
Rütger,Schander,Mainstraße,55,79348,Freiamt
Pankratius,Limbach,Roßstraße,130,89171,Illerkirchberg
Loremarie,Pöhler,Gocher Landstraße,130,14478,Potsdam
Iris,Thurn,Hardtplätzchen,33,78266,Büsingen am Hochrhein
Joschua,Rosenau,Schöneberger Straße,115,68307,Mannheim
Laurenz,Hedemann,Untermarkstraße,106,93197,Zeitlarn
Annelie,Lanfermann,Ortenaustraße,118,66851,Oberarnbach
Gerheide,Kemmerling,Görresstraße,146,54619,Großkampenberg
Kunibert,Löb,Schütteloher Weg,168,34508,Willingen
Timo,Ahlf,Mühlenbrey,51,87719,Mindelheim
Ulfried,Schmuck,Leybergweg,103 a,53343,Wachtberg
Winand,Breuninger,Schiffweilerstraße,167,59909,Bestwig
Stephanie,Rübsam,Heller Weg,164,63619,Bad Orb
Hannegret,Monsees,Wortkamp,64,55595,Dalberg
Wilfriede,Bruder,Reichenhaller Straße,144,88048,Friedrichshafen
Cläre,Kratzsch,Goldregenweg,66,72582,Grabenstetten
Curt,Sauerbier,Bundesallee,169,75249,Kieselbronn
Teresa,Steinbacher,Hinter den Gärten,81,56332,Brodenbach
Ramona,Streubel,Alter Schulweg,43,56370,Allendorf
Colin,Böse,Staufenstraße,139,47877,Willich
Arend,Buhl,Aremberger Straße,50,56254,Moselkern
Burglinde,Kormann,Auf dem Scheid,157,97896,Freudenberg
Auguste,Jehle,Lorenbeckstraße,83,67454,Haßloch
Jona,Wippich,Bachgasse,127,24398,Karby
Sonnhild,Potthoff,Zur Knautheiche,66,25938,Alkersum
Erik,Happel,Hahnstraße,32,73066,Uhingen
